work_id,composer,title,detail,was,now
570250,"Lemoine, Antoine Marcel","7 Variations on Les Folies d'Espagne in D minor (Lemoine, Antoine Marcel)",guitar (or lyre-guitar),Other,Solo
570435,"Leukauf, Robert",Altspanische Suite,"Chamber Music: alto recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
570497,"Lewis, Paul",Chamerolles,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
570563,"León Egea, Ramón","Original in the Shadows, Op.258 (León Egea, Ramón)",guitar (or piano),Other,Solo
570742,"Lieske, Wulfin",Suite breve,"Chamber Music: violin (or viola or flute or oboe), guitar",Guitar and Flute,Guitar and Violin
570761,"Lievonen, Ere",Pygmies in Space,"Chamber Music: sopranino (or alto) recorder, guitar - live electronics",Guitar and Voice,Guitar with Electronics
570974,"Linjama, Jyrki","Nuku rapussa, Reiska",Chamber Music: male quartet - guitar (or male chorus a cappella),Guitar and Voice,Quartet
570990,"Lintant, Charles","10 Airs variés pour guitare ou lyre (Lintant, Charles)",guitar (or lyre-guitar),Other,Solo
571440,"Loreti, Alfredo Enrico",Albumblätter,"Chamber Music: mandolin (or violin), guitar (or lute)",Guitar and Violin,Guitar and Mandolin
571449,"Loreti, Alfredo Enrico",Serenata Peregriona,"Chamber Music: mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
571451,"Loreti, Alfredo Enrico",Tüfeli-Polka,"Chamber Music: mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
571714,"Lund Christiansen, Toke",7 pieces,"Chamber Music: violin (or flute), guitar",Guitar and Flute,Guitar and Violin
572515,"Maimets, Riho Esko",In memoria aeterna,"Chamber Music: violoncello (or flute), amplified guitar (or piano)",Guitar and Piano,Guitar and Cello
572516,"Maimets, Riho Esko",Lumena,"Chamber Music: flute, amplified guitar (or piano)",Guitar and Piano,Guitar and Flute
572633,"Maldonado, Raúl",Duos en toutes saisons,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
572668,"Maldonado, Raúl",Rouge tango,"Trio: guitar trio (or flute (2), guitar)",Guitar and Flute,Duo
573068,"Marchelie, Érik",Danse,"Chamber Music: guitar, violoncello (or viola)",Guitar and Viola,Guitar and Cello
573245,"Marcoux, Jean-François","Conte Mystique (Marcoux, Jean-François)","bansuri (or violin), guitar (or piano)",Guitar and Piano,Duo
573256,"Marcoux, Jean-François","L'homme d'idée (Marcoux, Jean-François)","bansuri (or violin), guitar (or piano)",Guitar and Piano,Duo
573258,"Marcoux, Jean-François","La fable et la risée (Marcoux, Jean-François)","flute, guitar (or piano)",Guitar and Piano,Guitar and Flute
573265,"Marcoux, Jean-François","Le long des trottoirs (Marcoux, Jean-François)","harmonica (or violin), guitar",Guitar and Violin,Duo
573272,"Marcoux, Jean-François","Les temples antiques (Marcoux, Jean-François)","bansuri (or violin), guitar (or piano)",Guitar and Piano,Duo
573273,"Marcoux, Jean-François","Levitation 1 (Marcoux, Jean-François)","flute, guitar (or piano)",Guitar and Piano,Guitar and Flute
573275,"Marcoux, Jean-François","Noces pantomatiques (Marcoux, Jean-François)","bansuri, guitar (or piano)",Guitar and Piano,Duo
573279,"Marcoux, Jean-François","Sa première liberté (Marcoux, Jean-François)","bansuri (or violin), guitar (or piano)",Guitar and Piano,Duo
573294,"Marcussen, Kjell",A la secondè,"Chamber Music: guitar, viola (or violin)",Guitar and Violin,Guitar and Viola
573750,"Marshall, Nicholas",Cool Winds,"Chamber Music: guitar (or piano), violoncello",Guitar and Piano,Guitar and Cello
573908,"Martland, Steve",Big Mac II,"Ensemble: 0.0.asax.tsax.0 - 0.0.flghn.1.0 - mba(or vib)-kybd(or synth,pft)-bgtr - evln",Duo,Ensemble
573967,"Martín-Jaime, Francisco José",Balssamvm Vitæ Strigis,"Chamber Music: guitar (or piano), violin",Guitar and Piano,Guitar and Violin
574209,"Matsumiya, Keita",Déviation,"Chamber Music: bassoon (or baritone saxophone or bass clarinet or violoncello), guitar",Guitar and Cello,Guitar and Voice
574223,"Matteis, Nicola","The False Consonances of Musick (Matteis, Nicola)","guitar (or harpsichord, lute, bass viol)",Trio,Solo
574311,"Mattos, Fernando","Série Sulina III (Mattos, Fernando)","recorder, baroque guitar (or Brazilian viola)",Guitar and Viola,Guitar and Recorder
574612,"McGuire, Edward",The Guest Quintet,"Chamber Music: guitar (or oboe or A-clarinet or clarinet or bassoon or trombone or violoncello or double bas), violin (2), viola, violoncello",Guitar and Voice,Quartet
575047,"Meissonnier, Jean Antoine","Les Adieux de Carulli (Meissonnier, Jean Antoine)",guitar (or lyre-guitar),Other,Solo
575049,"Meissonnier, Jean Antoine","Variations on 'Vive Henry quatre' (Meissonnier, Jean Antoine)",guitar (or guitar-lyre),Other,Solo
575256,"Merchi, Giacomo","12 Divertimentos, Op.21 (Merchi, Giacomo)","2 guitars (or guitar, violin)",Guitar and Violin,Duo
575510,"Metzler, Friedrich",Sonatine,"Chamber Music: alto recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
576035,"Mitéran, Alain",Petite suite française,"Chamber Music: guitar, violoncello (or bassoon)",Guitar and Voice,Guitar and Cello
576199,"Molino, Francesco","Nouvelle Méthode pour la Guitare (Molino, Francesco)",guitar (or lyre),Other,Solo
576398,"Monti, Vittorio","La marquise et le berger (Monti, Vittorio)","2 mandolins (or 2 violins), guitar",Guitar and Violin,Guitar and Mandolin
