imslp_title,composer_name,work_title,source_category,instrumentation_category,alternate_instrumentations,url,arrangement_count,arrangers
"Prelude in C major, BuxWV 136 (Buxtehude, Dietrich)","Buxtehude, Dietrich","Prelude in C major, BuxWV 136",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_in_C_major%2C_BuxWV_136_%28Buxtehude%2C_Dietrich%29,1,4 Höger
"Prelude in C major, R 0.14 (Visée, Robert de)","Visée, Robert de","Prelude in C major, R 0.14",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_in_C_major%2C_R_0.14_%28Vis%C3%A9e%2C_Robert_de%29,1,Hokin
"Prelude in C minor, BWV 999 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude in C minor, BWV 999",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_in_C_minor%2C_BWV_999_%28Bach%2C_Johann_Sebastian%29,3,León Egea | Tavares | Apke
"Prelude in D minor, BWV 926 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude in D minor, BWV 926",For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_in_D_minor%2C_BWV_926_%28Bach%2C_Johann_Sebastian%29,1,2 Höger
"Prelude in D minor, BWV 940 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude in D minor, BWV 940",For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_in_D_minor%2C_BWV_940_%28Bach%2C_Johann_Sebastian%29,1,2 Nesyba
"Prelude in D minor, BuxWV 140 (Buxtehude, Dietrich)","Buxtehude, Dietrich","Prelude in D minor, BuxWV 140",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_in_D_minor%2C_BuxWV_140_%28Buxtehude%2C_Dietrich%29,1,Beuming
"Prelude in D minor, R 0.07 (Visée, Robert de)","Visée, Robert de","Prelude in D minor, R 0.07",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_in_D_minor%2C_R_0.07_%28Vis%C3%A9e%2C_Robert_de%29,1,Smirnow
"Prelude in E minor, BWV Anh.112 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude in E minor, BWV Anh.112",For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_in_E_minor%2C_BWV_Anh.112_%28Bach%2C_Johann_Sebastian%29,1,2 Höger
"Prelude in E minor, BuxWV 142 (Buxtehude, Dietrich)","Buxtehude, Dietrich","Prelude in E minor, BuxWV 142",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_in_E_minor%2C_BuxWV_142_%28Buxtehude%2C_Dietrich%29,1,4 Höger
"Prelude in E minor, R 0.18 (Visée, Robert de)","Visée, Robert de","Prelude in E minor, R 0.18",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_in_E_minor%2C_R_0.18_%28Vis%C3%A9e%2C_Robert_de%29,1,Hokin
"Prelude in F major, BuxWV 144 (Buxtehude, Dietrich)","Buxtehude, Dietrich","Prelude in F major, BuxWV 144",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_in_F_major%2C_BuxWV_144_%28Buxtehude%2C_Dietrich%29,1,4 Höger
"Prelude in G minor, BuxWV 148 (Buxtehude, Dietrich)","Buxtehude, Dietrich","Prelude in G minor, BuxWV 148",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_in_G_minor%2C_BuxWV_148_%28Buxtehude%2C_Dietrich%29,1,4 Höger
"Prelude in G minor, BuxWV 149 (Buxtehude, Dietrich)","Buxtehude, Dietrich","Prelude in G minor, BuxWV 149",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_in_G_minor%2C_BuxWV_149_%28Buxtehude%2C_Dietrich%29,1,4 Höger
"Prelude in G minor, T 515 (Byrd, William)","Byrd, William","Prelude in G minor, T 515",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_in_G_minor%2C_T_515_%28Byrd%2C_William%29,1,Apke
"Prelude in the Eighth Mode (Bull, John)","Bull, John",Prelude in the Eighth Mode,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_in_the_Eighth_Mode_%28Bull%2C_John%29,1,2 Höger
"Prelude, F-Pn Rés 823, f.20r (Mouton, Charles)","Mouton, Charles","Prelude, F-Pn Rés 823, f.20r",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude%2C_F-Pn_R%C3%A9s_823%2C_f.20r_%28Mouton%2C_Charles%29,1,Apke
"Prelude, Fugue and Allegro in E-flat major, BWV 998 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude, Fugue and Allegro in E-flat major, BWV 998",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude%2C_Fugue_and_Allegro_in_E-flat_major%2C_BWV_998_%28Bach%2C_Johann_Sebastian%29,1,Apke
"Preludes and Fugues (Zachow, Friedrich Wilhelm)","Zachow, Friedrich Wilhelm",Preludes and Fugues,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Preludes_and_Fugues_%28Zachow%2C_Friedrich_Wilhelm%29,1,4 Höger
"Preludes, Op.28 (Chopin, Frédéric)","Chopin, Frédéric","Preludes, Op.28",For guitar (arr),Solo,,https://imslp.org/wiki/Preludes%2C_Op.28_%28Chopin%2C_Fr%C3%A9d%C3%A9ric%29,5,León Egea | Knuth | Llobet | Tárrega | Jokela
"Preludio (Murcia, Santiago de)","Murcia, Santiago de",Preludio,For guitar (arr),Solo,,https://imslp.org/wiki/Preludio_%28Murcia%2C_Santiago_de%29,1,Nesyba
"Preludio de primo tono, Rda, f.115 (Murcia, Santiago de)","Murcia, Santiago de","Preludio de primo tono, Rda, f.115",For guitar (arr),Solo,,https://imslp.org/wiki/Preludio_de_primo_tono%2C_Rda%2C_f.115_%28Murcia%2C_Santiago_de%29,1,Smirnow
"Preludio o capricho arpeado (Sanz, Gaspar)","Sanz, Gaspar",Preludio o capricho arpeado,For guitar (arr),Solo,,https://imslp.org/wiki/Preludio_o_capricho_arpeado_%28Sanz%2C_Gaspar%29,1,Apke
"Preludium XIV (Gibbons, Orlando)","Gibbons, Orlando",Preludium XIV,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Preludium_XIV_%28Gibbons%2C_Orlando%29,1,2 Höger
"Preludium, Parthenia IX (Bull, John)","Bull, John","Preludium, Parthenia IX",For guitar (arr),Solo,Duo,https://imslp.org/wiki/Preludium%2C_Parthenia_IX_%28Bull%2C_John%29,2,2 Höger | Apke
"Preludium, Parthenia XXI (Gibbons, Orlando)","Gibbons, Orlando","Preludium, Parthenia XXI",For 2 guitars (arr),Duo,,https://imslp.org/wiki/Preludium%2C_Parthenia_XXI_%28Gibbons%2C_Orlando%29,1,2 Höger
"Premier livre de tablature de luth (Paladino, Giovanni Paolo)","Paladino, Giovanni Paolo",Premier livre de tablature de luth,For guitar (arr),Solo,,https://imslp.org/wiki/Premier_livre_de_tablature_de_luth_%28Paladino%2C_Giovanni_Paolo%29,1,Almada
"Premiere Fantasie (Guillet, Charles)","Guillet, Charles",Premiere Fantasie,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Premiere_Fantasie_%28Guillet%2C_Charles%29,1,4 Höger
"Primitiae musicales (Fritsch, Balthasar)","Fritsch, Balthasar",Primitiae musicales,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Primitiae_musicales_%28Fritsch%2C_Balthasar%29,1,4 Höger
"Principi e regole di Partimenti con tutte le lezioni (Cotumacci, Carlo)","Cotumacci, Carlo",Principi e regole di Partimenti con tutte le lezioni,For 3 guitars (arr),Trio,,https://imslp.org/wiki/Principi_e_regole_di_Partimenti_con_tutte_le_lezioni_%28Cotumacci%2C_Carlo%29,1,3 Höger
"Printemps (Keil, Alfredo)","Keil, Alfredo",Printemps,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Printemps_%28Keil%2C_Alfredo%29,1,2 Höger
"Promptuarium musicum (Schadaeus, Abraham)","Schadaeus, Abraham",Promptuarium musicum,For guitar (arr),Solo,,https://imslp.org/wiki/Promptuarium_musicum_%28Schadaeus%2C_Abraham%29,1,Beuming
"Präludien und Fugen, Op.131a (Reger, Max)","Reger, Max","Präludien und Fugen, Op.131a",For guitar (arr),Solo,,https://imslp.org/wiki/Pr%C3%A4ludien_und_Fugen%2C_Op.131a_%28Reger%2C_Max%29,2,L. Young | Manger
"Präludium in F major (Kotter, Hans)","Kotter, Hans",Präludium in F major,For guitar (arr),Solo,,https://imslp.org/wiki/Pr%C3%A4ludium_in_F_major_%28Kotter%2C_Hans%29,1,Apke
"Prélude à 4 temps (Campion, François)","Campion, François",Prélude à 4 temps,For guitar (arr),Solo,,https://imslp.org/wiki/Pr%C3%A9lude_%C3%A0_4_temps_%28Campion%2C_Fran%C3%A7ois%29,1,Marieh
"Préludes flasques (pour un chien) (Satie, Erik)","Satie, Erik",Préludes flasques (pour un chien),For 2 guitars (arr),Duo,,https://imslp.org/wiki/Pr%C3%A9ludes_flasques_%28pour_un_chien%29_%28Satie%2C_Erik%29,1,2 Goldau
"Préludes, Livre 1, CD 125 (Debussy, Claude)","Debussy, Claude","Préludes, Livre 1, CD 125",For 2 guitars (arr),Duo,Trio,https://imslp.org/wiki/Pr%C3%A9ludes%2C_Livre_1%2C_CD_125_%28Debussy%2C_Claude%29,2,3 Shorter | 2 Shorter
"Puer natus in Bethlehem, BWV 603 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Puer natus in Bethlehem, BWV 603",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Puer_natus_in_Bethlehem%2C_BWV_603_%28Bach%2C_Johann_Sebastian%29,1,4 Höger
"Puis ne me peult venir (Schmid I, Bernhard)","Schmid I, Bernhard",Puis ne me peult venir,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Puis_ne_me_peult_venir_%28Schmid_I%2C_Bernhard%29,1,2 Höger
"Puis qu'en oubli (Machaut, Guillaume de)","Machaut, Guillaume de",Puis qu'en oubli,For 3 guitars (arr),Trio,,https://imslp.org/wiki/Puis_qu%27en_oubli_%28Machaut%2C_Guillaume_de%29,1,3 Goldau
"Puisque voulez que de vous je m'absente (Goudimel, Claude)","Goudimel, Claude",Puisque voulez que de vous je m'absente,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Puisque_voulez_que_de_vous_je_m%27absente_%28Goudimel%2C_Claude%29,1,4 Höger
"Pućowaŕ w nalěću (Kocor, Korla Awgust)","Kocor, Korla Awgust",Pućowaŕ w nalěću,For guitar (arr),Solo,,https://imslp.org/wiki/Pu%C4%87owa%C5%95_w_nal%C4%9B%C4%87u_%28Kocor%2C_Korla_Awgust%29,1,Smirnow
"Quae est ista (Parma, Nicola)","Parma, Nicola",Quae est ista,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quae_est_ista_%28Parma%2C_Nicola%29,1,4 Höger
"Quaeramus cum pastoribus (Mouton, Jean)","Mouton, Jean",Quaeramus cum pastoribus,For 2 guitars (arr),Duo,Quartet,https://imslp.org/wiki/Quaeramus_cum_pastoribus_%28Mouton%2C_Jean%29,2,4 Höger | 2 Höger
"Qual più scontento amante alberga in terra (Monte, Philippe de)","Monte, Philippe de",Qual più scontento amante alberga in terra,For 3 guitars (arr),Trio,,https://imslp.org/wiki/Qual_pi%C3%B9_scontento_amante_alberga_in_terra_%28Monte%2C_Philippe_de%29,1,3 Höger
"Quand io pens al martire (Schmid I, Bernhard)","Schmid I, Bernhard",Quand io pens al martire,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Quand_io_pens_al_martire_%28Schmid_I%2C_Bernhard%29,1,2 Höger
"Quand mon mary, LV 153 (Lassus, Orlande de)","Lassus, Orlande de","Quand mon mary, LV 153",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quand_mon_mary%2C_LV_153_%28Lassus%2C_Orlande_de%29,1,4 Höger
"Quando miro il tuo bel volto (Quagliati, Paolo)","Quagliati, Paolo",Quando miro il tuo bel volto,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Quando_miro_il_tuo_bel_volto_%28Quagliati%2C_Paolo%29,1,2 Höger
"Quantas sabedes amar amigo (Codax, Martin)","Codax, Martin",Quantas sabedes amar amigo,For guitar (arr),Solo,,https://imslp.org/wiki/Quantas_sabedes_amar_amigo_%28Codax%2C_Martin%29,1,Marieh
"Quarta Canzon Francese à 4 (Cavaccio, Giovanni)","Cavaccio, Giovanni",Quarta Canzon Francese à 4,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quarta_Canzon_Francese_%C3%A0_4_%28Cavaccio%2C_Giovanni%29,1,4 Höger
"Quartetto, TWV 43:G2 (Telemann, Georg Philipp)","Telemann, Georg Philipp","Quartetto, TWV 43:G2",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quartetto%2C_TWV_43%3AG2_%28Telemann%2C_Georg_Philipp%29,1,4 Höger
"Quatricinium (Altenburg, Johann Ernst)","Altenburg, Johann Ernst",Quatricinium,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quatricinium_%28Altenburg%2C_Johann_Ernst%29,1,4 Höger
"Quebra-cabeças (Nazareth, Ernesto)","Nazareth, Ernesto",Quebra-cabeças,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quebra-cabe%C3%A7as_%28Nazareth%2C_Ernesto%29,1,4 Lopes
"Quel desir, c'hebbi in sù la vista prima (Monte, Philippe de)","Monte, Philippe de","Quel desir, c'hebbi in sù la vista prima",For 3 guitars (arr),Trio,,https://imslp.org/wiki/Quel_desir%2C_c%27hebbi_in_s%C3%B9_la_vista_prima_%28Monte%2C_Philippe_de%29,1,3 Höger
"Quel dolce foco (Festa, Costanzo)","Festa, Costanzo",Quel dolce foco,For 3 guitars (arr),Trio,,https://imslp.org/wiki/Quel_dolce_foco_%28Festa%2C_Costanzo%29,1,3 Höger
"Quel si grave dolore (Arcadelt, Jacob)","Arcadelt, Jacob",Quel si grave dolore,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Quel_si_grave_dolore_%28Arcadelt%2C_Jacob%29,1,2 Höger
"Quella bella e biancha mano (Caprioli, Antonio)","Caprioli, Antonio",Quella bella e biancha mano,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Quella_bella_e_biancha_mano_%28Caprioli%2C_Antonio%29,1,2 Höger
"Quelque chose que l'Amour puisse (Bailly, Henri du)","Bailly, Henri du",Quelque chose que l'Amour puisse,For guitar (arr),Solo,,https://imslp.org/wiki/Quelque_chose_que_l%27Amour_puisse_%28Bailly%2C_Henri_du%29,1,Hokin
"Quem vidistis pastores (Canale, Floriano)","Canale, Floriano",Quem vidistis pastores,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quem_vidistis_pastores_%28Canale%2C_Floriano%29,1,4 Höger
"Quemadmodum desiderat cervus, BuxWV 92 (Buxtehude, Dietrich)","Buxtehude, Dietrich","Quemadmodum desiderat cervus, BuxWV 92",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Quemadmodum_desiderat_cervus%2C_BuxWV_92_%28Buxtehude%2C_Dietrich%29,1,4 Höger
"Qui Passe (Byrd, William)","Byrd, William",Qui Passe,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Qui_Passe_%28Byrd%2C_William%29,1,2 Höger
"Qui bien se mire, LV 488 (Lassus, Orlande de)","Lassus, Orlande de","Qui bien se mire, LV 488",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Qui_bien_se_mire%2C_LV_488_%28Lassus%2C_Orlande_de%29,1,4 Höger
"Qui dort icy?, LV 152 (Lassus, Orlande de)","Lassus, Orlande de","Qui dort icy?, LV 152",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Qui_dort_icy%3F%2C_LV_152_%28Lassus%2C_Orlande_de%29,1,4 Höger
